输入商标名,历史商标名,输入商标编号,历史商标编号,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
奎特,茜茜库奇,11565446,3882685,True,0.0,0.13,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,0
菌工场,萃工厂,17840393,15361424,True,0.33,0.86,0.33,0.33,0.61,0.63,0.0,0.0,0.0,0.0,1,1,1
菌工场,银工场,17840393,16966215,True,0.67,0.86,0.67,0.67,0.92,0.61,0.0,0.0,0.0,0.0,1,1,1
菌工场,梦工厂,17840393,16337950,True,0.33,0.8,0.33,0.33,0.6,0.57,0.0,0.0,0.0,0.0,1,1,1
菌工场,俪工场,17840393,17334147,True,0.67,0.79,0.67,0.67,0.91,0.82,0.0,0.0,0.0,0.0,1,1,1
BY MY SIDE,WEI-T.,17724656,3882342,True,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,1,1,0
智勇李氏烧鹅,徽香源,17888722,3882923,True,0.0,0.23,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,0
印韵,星火,16964981,3881992,True,0.0,0.5,0.0,0.0,0.07,0.32,0.0,0.0,0.0,0.0,1,1,0
PARAGON,九州通,17787860,3884210,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
法诗萱,法狮堡,14740697,12190168,True,0.33,0.73,0.33,0.33,0.6,0.62,0.0,0.0,0.0,0.0,1,1,1
法诗萱,诗璇,14740697,10920183,True,0.33,0.73,0.33,0.33,0.62,0.0,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法媞诗,14740697,12394255,True,0.33,0.64,0.33,0.67,0.64,0.67,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法狮宾,14740697,12894200,True,0.33,0.73,0.33,0.33,0.63,0.62,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法诗图,14740697,1680561,True,0.67,0.73,0.67,0.67,0.91,0.75,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法米轩,14740697,14245844,True,0.33,0.82,0.33,0.33,0.61,0.64,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法韵诗,14740697,12178291,True,0.33,0.36,0.33,0.67,0.64,0.79,0.0,0.0,0.0,0.0,1,1,1
法诗萱,媞瑄,14740697,14201430,True,0.0,0.73,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法美诗,14740697,14564996,True,0.33,0.45,0.33,0.67,0.62,0.78,0.0,0.0,0.0,0.0,1,1,1
法诗萱,杜法诗,14740697,12826751,True,0.33,0.27,0.67,0.67,0.6,0.83,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法诗米,14740697,12744521,True,0.67,0.64,0.67,0.67,0.92,0.75,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法仕轩,14740697,12856330,True,0.33,1.0,0.33,0.33,0.63,0.61,0.0,0.0,0.0,0.0,1,1,1
法诗萱,法歌诗,14740697,11673834,True,0.33,0.36,0.33,0.67,0.61,0.81,0.0,0.0,0.0,0.0,1,1,1
JINHUANGNIAO,茜茜库奇,12118882A,3882685,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
芊韵本草 CHEROSE,爱喜,17898208,3882023,True,0.0,0.13,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1,1,0
木梵世家,木本世家,17815642,5637849,True,0.75,0.86,0.5,0.75,0.92,0.86,0.0,0.0,0.0,0.0,1,1,1
木梵世家,木雅世家,17815642,16214855,True,0.75,0.86,0.5,0.75,0.92,0.67,0.0,0.0,0.0,0.0,1,1,1
木梵世家,虹木世家,17815642,14019227,True,0.5,0.53,0.5,0.75,0.85,0.84,0.0,0.0,0.0,0.0,1,1,1
真的美,臻世美,17813900,16231311,True,0.33,0.75,0.33,0.33,0.62,0.43,0.0,0.0,0.0,0.0,1,1,1
