输入商标名,历史商标名,输入商标编号,历史商标编号,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
真的美,享德美,17813900,16609168,True,0.33,0.67,0.33,0.33,0.58,0.43,0.0,0.0,0.0,0.0,1,1,1
真的美,尚得美,17813900,15521470,True,0.33,0.75,0.33,0.33,0.6,0.5,0.0,0.0,0.0,0.0,1,1,1
真的美,振德堂,17813900,17435421,True,0.0,0.67,0.0,0.0,0.05,0.51,0.0,0.0,0.0,0.0,1,1,1
真的美,真信美,17813900,15909330,True,0.67,0.75,0.33,0.67,0.92,0.85,0.0,0.0,0.0,0.0,1,1,1
真的美,新得美,17813900,5159718,True,0.33,0.73,0.33,0.33,0.64,0.54,0.0,0.0,0.0,0.0,1,1,1
真的美,真优美,17813900,15669641,True,0.67,0.75,0.33,0.67,0.91,0.92,0.0,0.0,0.0,0.0,1,1,1
真的美,珍恒美,17813900,15727932,True,0.33,0.77,0.33,0.33,0.61,0.39,0.0,0.0,0.0,0.0,1,1,1
真的美,享德美,17813900,15741123,True,0.33,0.67,0.33,0.33,0.58,0.43,0.0,0.0,0.0,0.0,1,1,1
真的美,祯膳美,17813900,11990917,True,0.33,0.69,0.33,0.33,0.6,0.42,0.0,0.0,0.0,0.0,1,1,1
真的美,慧德美,17813900,16296956,True,0.33,0.73,0.33,0.33,0.6,0.46,0.0,0.0,0.0,0.0,1,1,1
真的美,真美源,17813900,12106269,True,0.33,0.54,0.33,0.67,0.61,0.82,0.0,0.0,0.0,0.0,1,1,1
真的美,美的斯,17813900,15552961,True,0.33,0.55,0.33,0.67,0.6,0.61,0.0,0.0,0.0,0.0,1,1,1
真的美,美真香,17813900,4157679,True,0.0,0.29,0.33,0.67,0.05,0.56,0.0,0.0,0.0,0.0,1,1,1
真的美,欣得美,17813900,15461321,True,0.33,0.73,0.33,0.33,0.59,0.74,0.0,0.0,0.0,0.0,1,1,1
真的美,珍蒂美,17813900,17372074,True,0.33,0.91,0.33,0.33,0.6,0.39,0.0,0.0,0.0,0.0,1,1,1
真的美,甄美 ZENME,17813900,11603904,True,0.33,0.73,0.33,0.33,0.65,0.0,0.0,0.0,0.0,0.0,1,1,1
真的美,臻德美,17813900,16113938,True,0.33,1.0,0.33,0.33,0.58,0.66,0.0,0.0,0.0,0.0,1,1,1
真的美,臻德靓,17813900,16113774,True,0.0,0.67,0.0,0.0,0.01,0.5,0.0,0.0,0.0,0.0,1,1,1
真的美,臻德润,17813900,16113964,True,0.0,0.73,0.0,0.0,0.06,0.49,0.0,0.0,0.0,0.0,1,1,1
真的美,臻德好,17813900,16113730,True,0.0,0.73,0.0,0.0,0.03,0.43,0.0,0.0,0.0,0.0,1,1,1
真的美,真优美,17813900,16402976,True,0.67,0.75,0.33,0.67,0.91,0.92,0.0,0.0,0.0,0.0,1,1,1
REAM,红点子,17802016,3882686,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
G.MAXI,盈顺,17772560A,3884053,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
润禾泰华,联合多邦,13618430A,3883154,True,0.0,0.38,0.0,0.0,0.02,0.48,0.0,0.0,0.0,0.0,1,1,0
CASSIEY COSMETICE,九州通,17362369A,3884210,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
贤爸890厨房 XIAN BA COOKING,九州通,17765252,3884208,True,0.0,0.3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,0
俭,煎,17765094,16216305,True,0.0,1.0,0.0,0.0,0.04,0.38,0.0,0.0,0.0,0.0,1,1,1
俭,俭物,17765094,16336668,True,0.5,0.57,1.0,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1,1
俭,鉴;MIRROR,17765094,4114187,True,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,1,1
迦马社区 GAMA COMMUNITY,东方理想集团,17762459,3882913,True,0.0,0.19,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,0
皇家名匠,巨峰,17760493,3882921,True,0.0,0.2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1,1,0
黑钻石,八公山;B.G.S,17761540,303356,True,0.0,0.25,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,1,1,0
FITDESK,劲霸,17760820,1569109,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
瑞童  RTONG,锐通  R,17760182,15506822,True,0.0,1.0,0.0,0.0,0.09,0.4,0.2,0.5,0.5,0.0,1,1,1
瑞童  RTONG,富锐通,17760182,16014765,True,0.0,0.73,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,1
瑞童  RTONG,睿通,17760182,9586161,True,0.0,1.0,0.0,0.0,0.03,0.4,0.0,0.0,0.0,0.0,1,1,1
瑞童  RTONG,瑞思通,17760182,16145148,True,0.33,0.73,0.5,0.33,0.64,0.0,0.0,0.0,0.0,0.0,1,1,1
瑞童  RTONG,瑞通,17760182,12037821,True,0.5,1.0,0.5,0.5,0.85,0.71,0.0,0.0,0.0,0.0,1,1,1
如伊,如意,11622226,1054888,True,0.5,1.0,0.5,0.5,0.85,0.69,0.0,0.0,0.0,0.0,1,1,1
扁担公社,东方理想集团,17758464,3882913,True,0.0,0.27,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,1,0
扁担公社,MEILANJIAZU,17758294,3882180,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
VANKE MALL,TIAN TIAN,17756906,3882364,True,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1,1,0
佐萨兰帝 ZUOSLANSON,茜茜库奇,11621226,3882685,True,0.0,0.27,0.0,0.0,0.02,0.37,0.0,0.0,0.0,0.0,1,1,0
爱咪儿,蜜奈儿,17756682,10006511,True,0.33,0.67,0.33,0.33,0.6,0.69,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾密诺,17756682,15362226,True,0.0,0.67,0.0,0.0,0.03,0.37,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,薇蜜儿,17756682,15371234,True,0.33,0.78,0.33,0.33,0.6,0.63,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,蓝蜜儿,17756682,9951540,True,0.33,0.78,0.33,0.33,0.58,0.6,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,蓝密侕,17756682,16467588,True,0.0,0.78,0.0,0.0,0.05,0.25,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,金迷尔,17756682,16468160,True,0.0,0.78,0.0,0.0,0.04,0.24,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾蕊儿,17756682,16238968,True,0.33,0.78,0.33,0.33,0.63,0.61,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,健蜜儿,17756682,16211759,True,0.33,0.7,0.33,0.33,0.59,0.7,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾米琳,17756682,16264968,True,0.0,0.67,0.0,0.0,0.01,0.39,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,宝蜜儿,17756682,16589474,True,0.33,0.78,0.33,0.33,0.59,0.65,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾米蓝,17756682,14040766,True,0.0,0.67,0.0,0.0,0.04,0.33,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,妍蜜儿,17756682,15223185,True,0.33,0.78,0.33,0.33,0.63,0.61,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,芬蜜儿,17756682,15223375,True,0.33,0.67,0.33,0.33,0.61,0.57,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱儿乐,17756682,1419175,True,0.33,0.5,0.33,0.67,0.63,0.81,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱儿健,17756682,17400251,True,0.33,0.4,0.33,0.67,0.62,0.87,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,迷妮儿,17756682,15837598,True,0.33,0.75,0.33,0.33,0.61,0.58,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱儿初,17756682,15860357,True,0.33,0.44,0.33,0.67,0.65,0.78,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,米西儿,17756682,7498810,True,0.33,0.75,0.33,0.33,0.61,0.54,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱玫尔,17756682,11899040,True,0.33,0.89,0.33,0.33,0.6,0.48,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱米雅,17756682,12892677,True,0.33,0.75,0.33,0.33,0.61,0.58,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾婓尔,17756682,15714880,True,0.0,0.78,0.0,0.0,0.04,0.19,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,蕾蜜尔,17756682,15726594,True,0.0,0.78,0.0,0.0,0.03,0.25,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,U米儿,17756682,16304762,True,0.33,0.75,0.33,0.33,0.6,0.17,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾黛尔,17756682,16344439,True,0.0,0.78,0.0,0.0,0.06,0.27,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,夏蜜儿,17756682,11773020,True,0.33,0.78,0.33,0.33,0.61,0.63,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾唯尔,17756682,17319735,True,0.0,0.78,0.0,0.0,0.05,0.24,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾唯尔,17756682,17319600,True,0.0,0.78,0.0,0.0,0.05,0.24,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,奥蜜儿,17756682,15429011,True,0.33,0.88,0.33,0.33,0.63,0.69,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾面儿,17756682,15438845,True,0.33,0.8,0.33,0.33,0.6,0.44,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾迷琳,17756682,16750822,True,0.0,0.67,0.0,0.0,0.05,0.39,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾比尔,17756682,16745592,True,0.0,0.88,0.0,0.0,0.01,0.25,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾迪尔,17756682,11167066,True,0.0,0.88,0.0,0.0,0.02,0.25,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾兜儿,17756682,16568107,True,0.33,0.67,0.33,0.33,0.6,0.63,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱弥雅,17756682,16572437,True,0.33,0.75,0.33,0.33,0.57,0.58,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,米贝尔,17756682,12266347,True,0.0,0.67,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱妃尔,17756682,11945307,True,0.33,0.78,0.33,0.33,0.56,0.44,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,迷黛尔,17756682,11840575,True,0.0,0.67,0.0,0.0,0.04,0.27,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱贝尔,17756682,11473117,True,0.33,0.78,0.33,0.33,0.63,0.48,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱密玛,17756682,7289825,True,0.33,0.75,0.33,0.33,0.65,0.5,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾莱儿,17756682,11616289,True,0.33,0.78,0.33,0.33,0.61,0.58,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱米高,17756682,16112590,True,0.33,0.67,0.33,0.33,0.6,0.59,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,嘟爱咪,17756682,15630753,True,0.33,0.38,0.67,0.67,0.56,0.72,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,凯密尔,17756682,15644555,True,0.0,0.89,0.0,0.0,0.04,0.3,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,艾米蔻,17756682,15642004,True,0.0,0.67,0.0,0.0,0.03,0.43,0.0,0.0,0.0,0.0,1,1,1
爱咪儿,爱飞尔,17756682,15267526,True,0.33,0.78,0.33,0.33,0.61,0.44,0.0,0.0,0.0,0.0,1,1,1
威斯坦,维斯立,17756325,12477890,True,0.33,0.7,0.33,0.33,0.6,0.37,0.0,0.0,0.0,0.0,1,1,1
威斯坦,威斯乐,17756325,15853811,True,0.67,0.7,0.67,0.67,0.91,0.71,0.0,0.0,0.0,0.0,1,1,1
威斯坦,帝威斯,17756325,5312465,True,0.33,0.3,0.67,0.67,0.58,0.74,0.0,0.0,0.0,0.0,1,1,1
威斯坦,威娜斯,17756325,15707307,True,0.33,0.5,0.33,0.67,0.59,0.78,0.0,0.0,0.0,0.0,1,1,1
威斯坦,威力斯,17756325,16336573,True,0.33,0.6,0.33,0.67,0.61,0.71,0.0,0.0,0.0,0.0,1,1,1
威斯坦,斯诺威,17756325,15282723,True,0.0,0.2,0.33,0.67,0.01,0.8,0.0,0.0,0.0,0.0,1,1,1
威斯坦,斯坦铂,17756325,15447957,True,0.33,0.3,0.67,0.67,0.59,0.83,0.0,0.0,0.0,0.0,1,1,1
威斯坦,威斯泰,17756325,17593522,True,0.67,0.9,0.67,0.67,0.91,0.8,0.0,0.0,0.0,0.0,1,1,1
威斯坦,浩斯威,17756325,13666050,True,0.33,0.4,0.33,0.67,0.63,0.8,0.0,0.0,0.0,0.0,1,1,1
威斯坦,斯坦迪,17756325,17022793A,True,0.33,0.3,0.67,0.67,0.59,0.33,0.0,0.0,0.0,0.0,1,1,1
威斯坦,威斯安,17756325,15628609,True,0.67,0.9,0.67,0.67,0.92,0.75,0.0,0.0,0.0,0.0,1,1,1
威斯坦,赫斯威,17756325,16407200,True,0.33,0.5,0.33,0.67,0.61,0.81,0.0,0.0,0.0,0.0,1,1,1
威斯坦,威斯特,17756325,15822654,True,0.67,0.8,0.67,0.67,0.91,0.83,0.0,0.0,0.0,0.0,1,1,1
瑞光,劲霸;KBOXING,17755715,1589593,True,0.0,0.22,0.0,0.0,0.03,0.15,0.0,0.0,0.0,0.0,1,1,0
SIOUX,欧美佳,17755187,3882675,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
洪塘,洪海堂,17754750,11327731,True,0.33,0.69,0.5,0.33,0.61,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,大鸿堂,17754750,16075967,True,0.0,0.75,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,汇红堂,17754750,15852465,True,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,鸿满堂,17754750,15846304,True,0.0,0.69,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,鸿爱堂,17754750,15872845,True,0.0,0.75,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,弘恩堂,17754750,16041762,True,0.0,0.75,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,红济堂,17754750,16943069,True,0.0,0.75,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,红夷堂,17754750,11093259,True,0.0,0.75,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,弘药堂 HONG EN PHARMACEUTICAL CO.LTD,17754750,16299291,True,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,红堂,17754750,4557832,True,0.0,1.0,0.0,0.0,0.04,0.45,0.0,0.0,0.0,0.0,1,1,1
洪塘,鸿恩堂,17754750,17048998,True,0.0,0.75,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,宏本堂,17754750,12690658,True,0.0,0.69,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,弘礼堂,17754750,16444369,True,0.0,0.75,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,红糖姐,17754750,17360217,True,0.0,0.69,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,益洪堂,17754750,15089224,True,0.33,0.75,0.5,0.33,0.65,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,洪润堂,17754750,15664909,True,0.33,0.69,0.5,0.33,0.57,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,红孕堂,17754750,15801744,True,0.0,0.69,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,1
洪塘,洪门堂,17754750,6105457,True,0.33,0.69,0.5,0.33,0.61,0.0,0.0,0.0,0.0,0.0,1,1,1
詹记,展记,17754818,16271432,True,0.5,1.0,0.5,0.5,0.86,1.0,0.0,0.0,0.0,0.0,1,1,1
金狮狼,金郎,3206960,1577281,True,0.33,0.67,0.33,0.33,0.59,0.0,0.0,0.0,0.0,0.0,1,1,1
金狮狼,劲浪;POWER WAVE,3206960,1585227,True,0.0,0.67,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,1
金狮狼,金狼,3206960,1577517,True,0.67,0.67,0.33,0.67,0.9,0.0,0.0,0.0,0.0,0.0,1,1,1
AKODA,欧美佳,17753930,3882675,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
鑫源野,鑫隆源,17753703,17156664,True,0.33,0.46,0.33,0.67,0.63,0.64,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫农源,17753703,16706608,True,0.33,0.46,0.33,0.67,0.6,0.59,0.0,0.0,0.0,0.0,1,1,1
鑫源野,心愿屋,17753703,16465956,True,0.0,0.82,0.0,0.0,0.01,0.48,0.0,0.0,0.0,0.0,1,1,1
鑫源野,银鑫源,17753703,16237504,True,0.33,0.42,0.67,0.67,0.61,0.68,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫垣,17753703,16198704,True,0.33,0.73,0.33,0.33,0.6,0.0,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫园,17753703,17426387,True,0.33,0.73,0.33,0.33,0.57,0.0,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫源疆,17753703,15869687,True,0.67,0.64,0.67,0.67,0.91,0.71,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫禄源,17753703,16922882,True,0.33,0.45,0.33,0.67,0.58,0.71,0.0,0.0,0.0,0.0,1,1,1
鑫源野,源野地,17753703,16028605,True,0.33,0.36,0.67,0.67,0.63,1.0,0.0,0.0,0.0,0.0,1,1,1
鑫源野,心愿橙,17753703,15732976,True,0.0,0.71,0.0,0.0,0.02,0.41,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫远大,17753703,16329754,True,0.33,0.82,0.33,0.33,0.6,0.28,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫亮源,17753703,11793398,True,0.33,0.57,0.33,0.67,0.64,0.68,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫碧源,17753703,17224398,True,0.33,0.45,0.33,0.67,0.64,0.68,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫伍源,17753703,11154592,True,0.33,0.45,0.33,0.67,0.65,0.64,0.0,0.0,0.0,0.0,1,1,1
鑫源野,芯源康,17753703,16145262,True,0.33,0.69,0.33,0.33,0.57,0.68,0.0,0.0,0.0,0.0,1,1,1
鑫源野,鑫欣源,17753703,16168688,True,0.33,0.5,0.33,0.67,0.62,0.64,0.0,0.0,0.0,0.0,1,1,1
鑫源野,伊鑫源,17753703,11324345,True,0.33,0.45,0.67,0.67,0.59,0.64,0.0,0.0,0.0,0.0,1,1,1
鑫源野,源野,17753703,17063584,True,0.67,0.64,0.67,0.67,0.92,0.0,0.0,0.0,0.0,0.0,1,1,1
鑫源野,泰鑫源,17753703,12054915,True,0.33,0.42,0.67,0.67,0.6,0.64,0.0,0.0,0.0,0.0,1,1,1
鑫源野,碧鑫源,17753703,16125465,True,0.33,0.45,0.67,0.67,0.64,0.68,0.0,0.0,0.0,0.0,1,1,1
鑫源野,恒鑫源,17753703,16085090,True,0.33,0.38,0.67,0.67,0.61,0.64,0.0,0.0,0.0,0.0,1,1,1
鑫源野,和鑫源,17753703,16386755,True,0.33,0.45,0.67,0.67,0.61,0.64,0.0,0.0,0.0,0.0,1,1,1
鑫源野,三鑫源,17753703,15749483,True,0.33,0.42,0.67,0.67,0.6,0.64,0.0,0.0,0.0,0.0,1,1,1
ECCI,景秀瓷丽,17753661,3883999,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
INIS MEAIN,茜茜库奇,11614466,3882685,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
ECCI,WEI-T.,17753389,3882342,True,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,1,1,0
JINGOVERLORD 京霸王,爱喜,17752753,3882023,True,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
LTR,巨峰,17753111,3882921,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
北极猫,北极,17751927,12383523,True,0.67,0.6,0.67,0.67,0.91,0.0,0.0,0.0,0.0,0.0,1,1,1
北极猫,东北猫,17751927,15510107,True,0.33,0.5,0.33,0.67,0.59,0.81,0.0,0.0,0.0,0.0,1,1,1
北极猫,北极圈,17751927,17425420,True,0.67,0.73,0.67,0.67,0.91,0.67,0.0,0.0,0.0,0.0,1,1,1
北极猫,北极狼,17751927,15911274,True,0.67,0.73,0.67,0.67,0.9,0.79,0.0,0.0,0.0,0.0,1,1,1
北极猫,贝特猫,17751927,16446218,True,0.33,0.8,0.33,0.33,0.64,0.57,0.0,0.0,0.0,0.0,1,1,1
北极猫,北极光,17751927,16430311,True,0.67,0.67,0.67,0.67,0.91,0.76,0.0,0.0,0.0,0.0,1,1,1
北极猫,北极,17751927,15589636,True,0.67,0.6,0.67,0.67,0.91,0.0,0.0,0.0,0.0,0.0,1,1,1
北极猫,贝贝猫,17751927,15896937,True,0.33,0.82,0.33,0.33,0.64,0.61,0.0,0.0,0.0,0.0,1,1,1
北极猫,北极猫,17751927,16905964,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1
北极猫,贝比猫,17751927,15659364,True,0.33,0.9,0.33,0.33,0.6,0.68,0.0,0.0,0.0,0.0,1,1,1
北极猫,北极针,17751927,15006203,True,0.67,0.64,0.67,0.67,0.92,0.82,0.0,0.0,0.0,0.0,1,1,1
水域阳光,星火,17752993,3881992,True,0.0,0.28,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,0
R·LOVE ONE 真爱·唯一,NOVIA,17752814,3882551,True,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,1,1,0
连氏寿,关馥园,11612246,1567602,True,0.0,0.31,0.0,0.0,0.09,0.38,0.0,0.0,0.0,0.0,1,1,0
萨鼎梦尼,茜茜库奇,11613361,3882685,True,0.0,0.27,0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,1,1,0
婳线 婳 HAYZLINE,茜茜库奇,17751686,3882685,True,0.0,0.47,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,0
GT,茜茜库奇,17751265,3882685,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
GHOST,NOVIA,17751125,3882551,True,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
