输入商标名,历史商标名,输入商标编号,历史商标编号,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
小白用车,小马用车,17595812A,15462382,True,0.75,0.88,0.5,0.75,0.92,0.68,0.0,0.0,0.0,0.0,1,1,1
永之星,武之行,17173450,15939565,True,0.33,0.69,0.33,0.33,0.58,0.39,0.0,0.0,0.0,0.0,1,1,1
永之星,行知行,17173450,15442595,True,0.0,0.85,0.0,0.0,0.02,0.19,0.0,0.0,0.0,0.0,1,1,1
永之星,育智星,17173450,16759495,True,0.33,0.77,0.33,0.33,0.6,0.51,0.0,0.0,0.0,0.0,1,1,1
永之星,励志行,17173450,15957486,True,0.0,0.69,0.0,0.0,0.05,0.35,0.0,0.0,0.0,0.0,1,1,1
小汉兴,小确幸,17173369,16216295,True,0.33,0.77,0.33,0.33,0.6,0.47,0.0,0.0,0.0,0.0,1,1,1
小汉兴,小星 DIY,17173369,15524282,True,0.33,0.69,0.33,0.33,0.59,0.0,0.0,0.0,0.0,0.0,1,1,1
小汉兴,小童星,17173369,16897072,True,0.33,0.79,0.33,0.33,0.61,0.52,0.0,0.0,0.0,0.0,1,1,1
榆钱树,摇钱数,17173414,16744733,True,0.33,0.83,0.33,0.33,0.58,0.69,0.0,0.0,0.0,0.0,1,1,1
榆钱树,花千束,17173414,15856912,True,0.0,0.83,0.0,0.0,0.07,0.38,0.0,0.0,0.0,0.0,1,1,1
榆钱树,千鼠,17173414,16312139,True,0.0,0.73,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,1
大小爱玩,红点子,17594606,3882686,True,0.0,0.21,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1,1,0
野兽战队,劲霸,17173356,1569109,True,0.0,0.13,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1,1,0
王子甲 PRINCE ARMOR,欧美佳,17173326,3882675,True,0.0,0.45,0.0,0.0,0.03,0.28,0.0,0.0,0.0,0.0,1,1,0
海鲜街,海外街,17591974,17002324,True,0.67,0.75,0.33,0.67,0.91,0.63,0.0,0.0,0.0,0.0,1,1,1
海鲜街,海街烧,17591974,15617284,True,0.33,0.42,0.33,0.67,0.59,0.65,0.0,0.0,0.0,0.0,1,1,1
海鲜街,海上鲜,17591974,11595653,True,0.33,0.57,0.33,0.67,0.6,0.75,0.0,0.0,0.0,0.0,1,0,1
金子 郎庄 JZLZ,联合多邦,17591728,3883154,True,0.0,0.39,0.0,0.0,0.04,0.32,0.0,0.0,0.0,0.0,1,1,0
健康集结号,小儿侯,17173315,3882808,True,0.0,0.25,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,0
花芊谷,花茜子,17591920,16090458,True,0.33,0.82,0.33,0.33,0.63,0.58,0.0,0.0,0.0,0.0,1,1,1
花芊谷,花谷木,17591920,15518631,True,0.33,0.55,0.33,0.67,0.65,0.83,0.0,0.0,0.0,0.0,1,1,1
