输入商标名,历史商标名,输入商标编号,历史商标编号,所属大类,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
宝蝶丽,宝俪格,16283664,3875340,14,True,0.33,0.6,0.33,0.33,0.62,0.89,0.0,0.0,0.0,0.0,1,1,1
宝蝶丽,宝瑞利,16283664,15157511,14,True,0.33,0.7,0.33,0.33,0.6,0.71,0.0,0.0,0.0,0.0,1,1,1
宝蝶丽,宝赛丽,16283664,13005898,14,True,0.67,0.7,0.33,0.67,0.91,1.0,0.0,0.0,0.0,0.0,1,1,1
宝蝶丽,法宝丽,16283664,14766222,14,True,0.33,0.5,0.33,0.67,0.58,1.0,0.0,0.0,0.0,0.0,1,1,1
宝蝶丽,宝曼莉,16283664,14797581,14,True,0.33,0.7,0.33,0.33,0.61,0.77,0.0,0.0,0.0,0.0,1,1,1
宝蝶丽,吉宝丽,16283664,11360947,14,True,0.33,0.4,0.33,0.67,0.61,1.0,0.0,0.0,0.0,0.0,1,1,1
宝蝶丽,宝丽鑫,16283664,15564485,14,True,0.33,0.6,0.33,0.67,0.58,1.0,0.0,0.0,0.0,0.0,1,0,1
GZ,MAZZOT UHREN;美世德屋赫伦,19999001,3884080,14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1,1,0
尚美酷,赏美 CERNMEI,16407914,12180809,14,True,0.33,0.75,0.33,0.33,0.64,0.0,0.0,0.0,0.0,0.0,1,1,1
尚美酷,致尚美,16407914,12113328,14,True,0.33,0.46,0.67,0.67,0.62,1.0,0.0,0.0,0.0,0.0,1,1,1
尚美酷,上每,16407914,15431673,14,True,0.0,0.75,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1,1,1
尚美酷,尚林美,16407914,15390263,14,True,0.33,0.54,0.33,0.67,0.62,1.0,0.0,0.0,0.0,0.0,1,1,1
尚美酷,追尚美,16407914,14689315,14,True,0.33,0.43,0.67,0.67,0.61,1.0,0.0,0.0,0.0,0.0,1,1,1
尚美酷,美尚佳,16407914,16356958,14,True,0.0,0.31,0.33,0.67,0.03,1.0,0.0,0.0,0.0,0.0,1,1,1
尚美酷,祥尚美,16407914,16357390,14,True,0.33,0.4,0.67,0.67,0.64,1.0,0.0,0.0,0.0,0.0,1,1,1
