输入商标名,历史商标名,输入商标编号,历史商标编号,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
永之星,永祥兴,17173450,4669618,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4669636,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4669635,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,育之星,17173450,11197660,False,0.67,0.77,0.67,0.67,0.92,0.66,0.0,0.0,0.0,0.0,1,1,1
永之星,康之兴,17173450,4377934,False,0.33,0.85,0.33,0.33,0.61,0.43,0.0,0.0,0.0,0.0,1,1,1
永之星,朗之行,17173450,16076641,False,0.33,0.85,0.33,0.33,0.6,0.41,0.0,0.0,0.0,0.0,1,1,1
永之星,花之星,17173450,16076356,False,0.67,0.69,0.67,0.67,0.92,0.27,0.0,0.0,0.0,0.0,1,1,1
永之星,港之星,17173450,16080623,False,0.67,0.85,0.67,0.67,0.92,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,创智星,17173450,16101098,False,0.33,0.73,0.33,0.33,0.63,0.56,0.0,0.0,0.0,0.0,1,1,1
永之星,勇兴,17173450,16091893,False,0.0,0.69,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,勇兴,17173450,16091854,False,0.0,0.69,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,星之盟,17173450,6207110,False,0.33,0.69,0.33,0.67,0.64,0.47,0.0,0.0,0.0,0.0,1,1,1
永之星,醒芝青,17173450,15504469,False,0.0,0.77,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,1,1,1
永之星,兴之欣,17173450,15509326,False,0.33,0.77,0.33,0.33,0.61,0.39,0.0,0.0,0.0,0.0,1,1,1
永之星,永生行,17173450,15532180,False,0.33,0.73,0.33,0.33,0.66,0.52,0.0,0.0,0.0,0.0,1,1,1
永之星,美芝星,17173450,15521137,False,0.33,0.69,0.33,0.33,0.62,0.61,0.0,0.0,0.0,0.0,1,1,1
永之星,陉之林,17173450,15479360,False,0.33,0.69,0.33,0.33,0.6,0.41,0.0,0.0,0.0,0.0,1,1,1
永之星,永积行,17173450,15498339,False,0.33,0.85,0.33,0.33,0.59,0.54,0.0,0.0,0.0,0.0,1,1,1
永之星,雪之星,17173450,15493528,False,0.67,0.69,0.67,0.67,0.91,0.62,0.0,0.0,0.0,0.0,1,1,1
永之星,永积行,17173450,15498384,False,0.33,0.85,0.33,0.33,0.59,0.54,0.0,0.0,0.0,0.0,1,1,1
永之星,雪之星,17173450,15493529,False,0.67,0.69,0.67,0.67,0.91,0.62,0.0,0.0,0.0,0.0,1,1,1
永之星,勇兴,17173450,12298978,False,0.0,0.69,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,康之星,17173450,15881902,False,0.67,0.85,0.67,0.67,0.91,0.62,0.0,0.0,0.0,0.0,1,1,1
永之星,路智行,17173450,15895008,False,0.0,0.69,0.0,0.0,0.07,0.25,0.0,0.0,0.0,0.0,1,1,1
永之星,小智星,17173450,15891348,False,0.33,0.69,0.33,0.33,0.63,0.52,0.0,0.0,0.0,0.0,1,1,1
永之星,永德兴,17173450,1608494,False,0.33,0.77,0.33,0.33,0.62,0.51,0.0,0.0,0.0,0.0,1,1,1
永之星,兴之农,17173450,16630939,False,0.33,0.69,0.33,0.33,0.59,0.69,0.0,0.0,0.0,0.0,1,1,1
永之星,强之星,17173450,4233352,False,0.67,0.79,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,陇之星,17173450,15943091,False,0.67,0.92,0.67,0.67,0.91,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,武之行,17173450,15939565,True,0.33,0.69,0.33,0.33,0.58,0.39,0.0,0.0,0.0,0.0,1,1,1
永之星,励志之星,17173450,16040292,False,0.5,0.6,0.67,0.5,0.86,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,乾知行,17173450,16006733,False,0.0,0.69,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,1,1,1
永之星,温之星,17173450,16019166,False,0.67,0.77,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,鹰之星,17173450,15985058,False,0.67,0.92,0.67,0.67,0.92,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,吉之星,17173450,16774683,False,0.67,0.69,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,永兴,17173450,9270667,False,0.33,0.69,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,政直之星,17173450,16946715,False,0.5,0.61,0.67,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,利之星,17173450,16922327,False,0.67,0.69,0.67,0.67,0.91,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,财知星,17173450,11901274,False,0.33,0.69,0.33,0.33,0.58,0.51,0.0,0.0,0.0,0.0,1,1,1
永之星,贵之星,17173450,15450103,False,0.67,0.69,0.67,0.67,0.92,0.61,0.0,0.0,0.0,0.0,1,1,1
永之星,亮之星,17173450,4025317,False,0.67,0.79,0.67,0.67,0.92,0.64,0.0,0.0,0.0,0.0,1,1,1
永之星,星际星,17173450,4035885,False,0.33,0.69,0.33,0.33,0.6,0.47,0.0,0.0,0.0,0.0,1,1,1
永之星,星际星,17173450,4035886,False,0.33,0.69,0.33,0.33,0.6,0.47,0.0,0.0,0.0,0.0,1,1,1
