输入商标名,历史商标名,输入商标编号,历史商标编号,所属大类,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
宝蝶丽,MAZZOT UHREN;美世德屋赫伦,16283664,3884080,14,True,0.0,0.25,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1,1,0
GZ,MAZZOT UHREN;美世德屋赫伦,19999001,3884080,14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1,1,0
尚美酷,MAZZOT UHREN;美世德屋赫伦,16407914,3884080,14,True,0.0,0.25,0.33,0.17,0.01,0.0,0.0,0.0,0.0,0.0,1,1,0
比比之心  BIBIMLOV,MAZZOT UHREN;美世德屋赫伦,16113542,3884080,14,True,0.0,0.35,0.0,0.0,0.04,0.0,0.36,0.0,0.0,0.0,1,1,0
秀瓣,MAZZOT UHREN;美世德屋赫伦,18222143,3884080,14,True,0.0,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,0
猫印,MAZZOT UHREN;美世德屋赫伦,17452691,3884080,14,True,0.0,0.2,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,0
铂豪,豪铂伦 HOBALENG,17482018,15180810,14,True,0.33,0.3,0.5,0.67,0.6,0.0,0.0,0.0,0.0,0.0,1,1,1
珍瑞祥,MAZZOT UHREN;美世德屋赫伦,19737925,3884080,14,True,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
爱格莎,MAZZOT UHREN;美世德屋赫伦,18342711,3884080,14,True,0.0,0.25,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,1,0
法兰琪,MAZZOT UHREN;美世德屋赫伦,18343262,3884080,14,True,0.0,0.1,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1,1,0
泰琴,MAZZOT UHREN;美世德屋赫伦,19803647,3884080,14,True,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
乔爵,俏主角 QIAOZJUE,16319926,16037989,14,True,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
简琦,MAZZOT UHREN;美世德屋赫伦,18343347,3884080,14,True,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1,1,0
布衣之心 BYZL,MAZZOT UHREN;美世德屋赫伦,16113336,3884080,14,True,0.0,0.3,0.0,0.0,0.04,0.0,0.23,0.0,0.0,0.0,1,1,0
明艳,铭言,18896483,14394237,14,True,0.0,1.0,0.0,0.0,0.04,0.52,0.0,0.0,0.0,0.0,1,1,1
明艳,名颜,18896483,16180310,14,True,0.0,1.0,0.0,0.0,0.1,0.32,0.0,0.0,0.0,0.0,1,1,1
孔雀口袋 PEAFOWL SACKS,MAZZOT UHREN;美世德屋赫伦,19772333,3884080,14,True,0.0,0.15,0.0,0.0,0.02,0.0,0.5,0.0,0.0,0.0,1,1,0
KUIHUA  K,MAZZOT UHREN;美世德屋赫伦,18340544,3884080,14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,1,1,0
固德汇,MAZZOT UHREN;美世德屋赫伦,16372005,3884080,14,True,0.17,0.3,0.33,0.17,0.28,0.0,0.0,0.0,0.0,0.0,1,1,0
