输入商标名,历史商标名,输入商标编号,历史商标编号,所属大类,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
简思琳,玛思琳,16538881,14518925,25,True,0.67,0.73,0.67,0.67,0.92,0.79,0.0,0.0,0.0,0.0,1,1,1
简思琳,思洛琳,16538881,12720090,25,True,0.33,0.45,0.33,0.67,0.61,0.79,0.0,0.0,0.0,0.0,1,1,1
简思琳,茧林,16538881,15585879,25,True,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
简思琳,思琳薇,16538881,14452837,25,True,0.33,0.27,0.67,0.67,0.58,0.77,0.0,0.0,0.0,0.0,1,1,1
简思琳,谏十思,16538881,14638037,25,True,0.0,0.73,0.33,0.33,0.04,0.47,0.0,0.0,0.0,0.0,1,1,1
简思琳,秀思琳,16538881,11122717,25,True,0.67,0.73,0.67,0.67,0.92,0.79,0.0,0.0,0.0,0.0,1,1,1
简思琳,简琳娜,16538881,14313493,25,True,0.33,0.55,0.33,0.67,0.59,0.58,0.0,0.0,0.0,0.0,1,1,1
简思琳,简琳妃,16538881,16407116,25,True,0.33,0.58,0.33,0.67,0.62,0.53,0.0,0.0,0.0,0.0,1,1,1
简思琳,简菲琳,16538881,16406862,25,True,0.67,0.83,0.33,0.67,0.92,0.58,0.0,0.0,0.0,0.0,1,1,1
简思琳,茧林,16538881,15763369,25,True,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
汉泉,茜茜库奇,19349166,3882685,25,True,0.0,0.4,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,0
黛茵丝,黛茵芬,16538871,7563437,25,True,0.67,0.73,0.67,0.67,0.91,0.71,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,茵蝶丝,16538871,13025835,25,True,0.33,0.5,0.33,0.67,0.61,0.17,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,琼黛丝,16538871,15481165,25,True,0.33,0.33,0.33,0.67,0.6,0.83,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛维斯,16538871,15834138,25,True,0.33,0.7,0.33,0.33,0.63,0.62,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,岱银,16538871,1184676,25,True,0.0,0.7,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛迷丝,16538871,5161397,25,True,0.67,0.8,0.33,0.67,0.92,0.44,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,戴丹丝,16538871,16333798,25,True,0.33,0.8,0.33,0.33,0.65,0.58,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛丝丹,16538871,16291071,25,True,0.33,0.5,0.33,0.67,0.59,0.78,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛丝秀,16538871,12080691,25,True,0.33,0.6,0.33,0.67,0.6,0.78,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛丝锦,16538871,3699103,25,True,0.33,0.6,0.33,0.67,0.61,0.77,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,艾黛丝,16538871,10976939,25,True,0.33,0.6,0.33,0.67,0.65,0.85,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛尼斯,16538871,10973767,25,True,0.33,0.8,0.33,0.33,0.6,0.59,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛琳斯,16538871,11337859,25,True,0.33,0.9,0.33,0.33,0.57,0.56,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,尼黛丝,16538871,9728145,25,True,0.33,0.5,0.33,0.67,0.59,0.78,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,乐丝茵,16538871,10668161,25,True,0.0,0.3,0.33,0.67,0.04,0.76,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,丝黛汝,16538871,6400236,25,True,0.0,0.3,0.33,0.67,0.03,0.78,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛绮丝,16538871,11379778,25,True,0.67,0.8,0.33,0.67,0.91,0.53,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,卡茵黛,16538871,15655972,25,True,0.33,0.6,0.33,0.67,0.61,0.67,0.0,0.0,0.0,0.0,1,1,1
